Date,Temperature,Humidity,Wind Speed,Weather Condition
2024-11-26 12:00:00,8.46,74,3.42,clear sky
2024-11-26 15:00:00,8.84,73,2.41,few clouds
2024-11-26 18:00:00,7.71,80,1.07,scattered clouds
2024-11-26 21:00:00,7.67,80,0.78,overcast clouds
2024-11-27 00:00:00,7.24,85,2.72,light rain
2024-11-27 03:00:00,7.11,94,6.05,moderate rain
2024-11-27 06:00:00,8.68,98,1.93,moderate rain
2024-11-27 09:00:00,5.9,88,5.31,light rain
2024-11-27 12:00:00,5.34,85,4.77,overcast clouds
2024-11-27 15:00:00,5.88,80,3.59,overcast clouds
2024-11-27 18:00:00,4.97,84,2.5,broken clouds
2024-11-27 21:00:00,4.15,85,2.06,broken clouds
2024-11-28 00:00:00,3.73,86,1.57,broken clouds
2024-11-28 03:00:00,3.99,86,1.27,broken clouds
2024-11-28 06:00:00,3.47,89,1.38,scattered clouds
2024-11-28 09:00:00,3.79,86,0.99,clear sky
2024-11-28 12:00:00,6.39,70,1.25,clear sky
2024-11-28 15:00:00,6.41,72,1.11,overcast clouds
2024-11-28 18:00:00,4.87,80,1.95,broken clouds
2024-11-28 21:00:00,4.3,84,2.09,overcast clouds
2024-11-29 00:00:00,4.11,86,2.21,overcast clouds
2024-11-29 03:00:00,4.26,84,2.64,overcast clouds
2024-11-29 06:00:00,4.81,82,3.26,overcast clouds
2024-11-29 09:00:00,5.61,75,3.65,overcast clouds
2024-11-29 12:00:00,8.42,66,4.46,overcast clouds
2024-11-29 15:00:00,7.93,68,4.41,overcast clouds
2024-11-29 18:00:00,7.52,70,3.85,overcast clouds
2024-11-29 21:00:00,7.71,69,3.73,overcast clouds
2024-11-30 00:00:00,7.19,72,3.59,overcast clouds
2024-11-30 03:00:00,6.92,76,3.16,overcast clouds
2024-11-30 06:00:00,6.58,78,2.65,overcast clouds
2024-11-30 09:00:00,7.98,72,2.63,overcast clouds
2024-11-30 12:00:00,9.74,66,2.98,overcast clouds
2024-11-30 15:00:00,9.78,66,2.62,overcast clouds
2024-11-30 18:00:00,8.07,71,2.52,overcast clouds
2024-11-30 21:00:00,7.71,70,2.46,broken clouds
2024-12-01 00:00:00,7.97,69,3.08,broken clouds
2024-12-01 03:00:00,8.43,64,3.11,scattered clouds
2024-12-01 06:00:00,7.77,68,3.47,scattered clouds
2024-12-01 09:00:00,8.43,66,3.15,overcast clouds
